Epoch,Loss,Accuracy,Val_Loss,Val_Accuracy
1,0.7917,77.18,1.8398,57.16
2,0.2344,92.59,0.6527,82.18
3,0.1673,94.51,0.601,85.79
4,0.145,95.37,0.4188,91.3
5,0.1187,96.2,0.4238,90.25
6,0.1091,96.57,0.2579,92.69
7,0.0999,96.76,0.1872,94.67
8,0.0942,97.08,0.2214,94.42
9,0.0909,97.18,0.9435,77.86
10,0.0824,97.42,0.227,94.65
11,0.0799,97.48,0.2483,92.88
12,0.08,97.47,0.3757,89.51
13,0.0754,97.68,0.6461,86.81
14,0.073,97.75,0.3212,91.99
15,0.066,97.98,0.2386,94.54
16,0.068,97.87,0.2166,94.69
